,Rank,Company,Industry,Address,City,State / Country,Postal Code,Country,"Revenue (in millions, USD)",Employees,Ticker,Website,CEO
340,341,China Aerospace Science & Industry,Aerospace & Defense,8A Fucheng Rd.,Beijing,China,100048,China,"$40,856",141678,,www.casic.com.cn,Gao Hongwei
341,342,J. Sainsbury,Food & Drug Stores,33 Holborn,London,Britain,EC1N 2HT,Britain,"$40,832",117000,JSAIY,www.about.sainsburys.co.uk,Simon Roberts
342,343,Enterprise Products Partners,Pipelines,1100 Louisiana St.,Houston,Texas,77002,U.S.,"$40,807",6911,EPD,www.enterpriseproducts.com,A. James Teague
343,344,ThyssenKrupp,Metals,ThyssenKrupp Allee 1,Essen,Germany,45143,Germany,"$40,648",101275,TKAMY,www.thyssenkrupp.com,Martina Merz
344,345,UBS Group,Banks: Commercial and Savings,Bahnhofstr. 45,Zurich,Switzerland,08001,Switzerland,"$40,638",71385,UBS,www.ubs.com,Ralph Hamers
345,346,Taikang Insurance Group,"Insurance: Life, Health (Mutual)",156 Fuxingmennei St.,Beijing,China,100031,China,"$40,608",58853,,www.taikang.com,Chen Dongsheng
346,347,TIAA,"Insurance: Life, Health (Mutual)",730 Third Ave.,New York,New York,10017,U.S.,"$40,526",15065,,www.tiaa.org,
347,348,Oracle,Computer Software,2300 Oracle Pkwy.,Austin,Texas,78741,U.S.,"$40,479",132000,ORCL,www.oracle.com,Safra A. Catz
348,349,Quanta Computer,"Computers, Office Equipment",211 Wenhua Second Rd.,Taoyuan,Taiwan,00333,Taiwan,"$40,440",91313,,www.quantatw.com,Barry Lam
349,350,Deutsche Bank,Banks: Commercial and Savings,Taunusanlage 12,Frankfurt,Germany,60325,Germany,"$40,188",82969,DB,www.db.com,Christian Sewing
350,351,Mitsubishi Electric,"Electronics, Electrical Equip.",2-7-3 Marunouchi,Tokyo,Japan,100-8310,Japan,"$39,852",145696,MIELY,www.mitsubishielectric.com,Takeshi Sugiyama
351,352,Banco Bilbao Vizcaya Argentaria,Banks: Commercial and Savings,Plaza de San Nicolás 4,Bilbao,Spain,48005,Spain,"$39,807",110432,BBVA,www.bbva.com,Onur Genc
352,353,Anhui Conch Group,"Building Materials, Glass",39 Wenhua Rd.,Wuhu,China,241000,China,"$39,700",59739,,www.chinaconch.com,Tian Yuntian
353,354,Daiwa House Industry,Engineering & Construction,3-3-5 Umeda,Osaka,Japan,530-8241,Japan,"$39,520",48831,DWAHY,www.daiwahouse.co.jp,
354,355,Thermo Fisher Scientific,"Scientific, Photographic & Control Equipment",168 Third Ave.,Waltham,Massachusetts,02451,U.S.,"$39,211",129000,TMO,www.thermofisher.com,Marc N. Casper
355,356,New Hope Holding Group,Food Production,Ningbo E. Rd.,Chengdu,China,610200,China,"$39,169",130887,,www.newhopegroup.com,
356,357,Koç Holding,Energy,Nakkastepe Azizbey Sok. 1,Istanbul,Turkey,34674,Turkey,"$39,014",105908,KHOLY,www.koc.com.tr,Levent Cakiroglu
357,358,JFE Holdings,Metals,2-2-3 Uchisaiwai-cho,Tokyo,Japan,100-0011,Japan,"$38,858",64296,JFEEF,www.jfe-holdings.co.jp,Koji Kakigi
358,359,Coca-Cola,Beverages,1 Coca-Cola Plaza,Atlanta,Georgia,30313,U.S.,"$38,655",79000,KO,www.coca-colacompany.com,James R. Quincey
359,360,Guangzhou Municipal Construction Group,Engineering & Construction,4 Guangwei Rd.,Guangzhou,China,510030,China,"$38,624",43052,,www.gzmcg.com,
360,361,General Dynamics,Aerospace & Defense,11011 Sunset Hills Rd.,Reston,Virginia,20190,U.S.,"$38,469",103100,GD,www.gd.com,Phebe N. Novakovic
361,362,CHS,Food Production,5500 Cenex Dr.,Inver Grove Heights,Minnesota,55077,U.S.,"$38,448",9941,,www.chsinc.com,Jay D. Debertin
362,363,Beijing Jianlong Heavy Industry Group,Metals,"188, West Rd., S. Ring 4",Beijing,China,100070,China,"$38,357",57568,,www.ejianlong.com,Zhixiang Zhang
363,364,China National Nuclear,Energy,1 Nansanxiang Sanlihe,Beijing,China,100822,China,"$38,328",181100,,www.cnnc.com.cn,Yu Jianfeng / Jianfeng Yu
364,365,ACS,Engineering & Construction,Av. Pio XII 102,Madrid,Spain,28036,Spain,"$38,317",105553,ACSAY,www.grupoacs.com,Florentino Perez Rodriguez
365,366,Toronto-Dominion Bank,Banks: Commercial and Savings,King St. W. and Bay St.,"Toronto, Ontario",Canada,M5K 1A2,Canada,"$38,275",89464,TD,www.td.com,Bharat B. Masrani
366,367,L'Oréal,Household and Personal Products,41 Rue Martre,Clichy,France,92110,France,"$38,175",85412,LRLCY,www.loreal.com,Jean-Paul Agon
367,368,Energie Baden-Württemberg,Utilities,Durlacher Allee 93,Karlsruhe,Germany,76131,Germany,"$38,010",24519,,www.enbw.com,Frank Mastiaux
368,369,LG Chem,Chemicals,128 Yeoui-daero,Seoul,South Korea,07336,South Korea,"$37,830",40000,,www.lgchem.co.kr,Hak-Cheol Shin
369,370,Tata Motors,Motor Vehicles & Parts,24 Homi Mody St.,Mumbai,India,400001,India,"$37,797",73608,TTM,www.tatamotors.com,Guenter Butschek
370,371,ELO Group,Food & Drug Stores,40 Ave. de Flandre,Croix,France,59170,France,"$37,677",153005,,www.groupe-elo.com,
371,372,Shenzhen Investment Holdings,Diversified Financials,4009 Shennan Rd.,Shenzhen,China,518000,China,"$37,599",86030,,www.sihc.com.cn/en,
372,373,SK Hynix,Semiconductors & Other Electronic Components,"2091 Gyeongchung-daero, Bubal-eup","Icheon, Gyeonggi-do",South Korea,17336,South Korea,"$37,574",38352,,www.skhynix.com,
373,374,Barclays,Banks: Commercial and Savings,1 Churchill Place,London,Britain,E14 5HP,Britain,"$37,562",81600,BCS,www.home.barclays,James E Staley
374,375,Enbridge,Pipelines,425 First St. S.W.,"Calgary, Alberta",Canada,T2P 3L8,Canada,"$37,549",11950,ENB,www.enbridge.com,Al Monaco
375,376,Cathay Financial Holding,"Insurance: Life, Health (Stock)",296 Ren-Ai Rd.,Taipei,Taiwan,00106,Taiwan,"$37,534",57100,,www.cathayholdings.com,Hong-Tu Tsai
376,377,Meiji Yasuda Life Insurance,"Insurance: Life, Health (Mutual)",2-1-1 Marunouchi,Tokyo,Japan,100-0005,Japan,"$37,516",48179,,www.meijiyasuda.co.jp,Akio Negishi
377,378,Poste Italiane,"Insurance: Life, Health (Stock)",Viale Europa 190,Rome,Italy,00144,Italy,"$37,492",118969,,www.posteitaliane.it,Matteo Del Fante
378,379,United Services Automobile Assn.,Insurance: Property and Casualty (Stock),9800 Fredericksburg Rd.,San Antonio,Texas,78288,U.S.,"$37,470",37335,,www.usaa.com,Wayne Peacock
379,380,Finatis,Food & Drug Stores,83 Rue du Faubourg St. Honoré,Paris,France,75008,France,"$37,458",196350,,www.finatis.fr,Didier Leveque
380,381,AstraZeneca,Pharmaceuticals,1 Francis Crick Ave.,Cambridge,Britain,CB2 0AA,Britain,"$37,417",83100,AZN,www.astrazeneca.com,Pascal Soriot
381,382,KB Financial Group,Banks: Commercial and Savings,26 Gukjegeumyung-ro,Seoul,South Korea,07331,South Korea,"$37,197",26187,KB,www.kbfg.com,Jong Kyoo Yoon
382,383,Sompo Holdings,Insurance: Property and Casualty (Stock),1-26-1 Nishi-Shinjuku,Tokyo,Japan,160-8338,Japan,"$37,099",47776,SMPNY,www.sompo-hd.com,Kengo Sakurada
383,384,Cenovus Energy,"Mining, Crude-Oil Production",225 6 Ave. S.W.,"Calgary, Alberta",Canada,T2P 0M5,Canada,"$36,979",5938,CVE,www.cenovus.com,Alexander J. Pourbaix
384,385,CRRC Group,Industrial Machinery,16 Central W. Fourth Ring Rd.,Beijing,China,100036,China,"$36,964",172869,,www.crrcgc.cc,Sun Yongcai
385,386,Jingye Group,Metals,Nandian Town,Shijiazhuang,China,050400,China,"$36,882",31000,,www.hbjyjt.com,Li Ganpo
386,387,Northwestern Mutual,"Insurance: Life, Health (Mutual)",720 E. Wisconsin Ave.,Milwaukee,Wisconsin,53202,U.S.,"$36,751",7585,,www.northwesternmutual.com,John Schlifske
387,388,Sumitomo Mitsui Financial Group,Banks: Commercial and Savings,1-1-2 Marunouchi,Tokyo,Japan,100-0005,Japan,"$36,597",101023,SMFG,www.smfg.co.jp,Jun Ohta
388,389,Nucor,Metals,1915 Rexford Rd.,Charlotte,North Carolina,28211,U.S.,"$36,484",28800,NUE,www.nucor.com,Leon J. Topalian
389,390,Hyundai Mobis,Motor Vehicles & Parts,203 Teheran-ro,Seoul,South Korea,06141,South Korea,"$36,442",33702,,www.mobis.co.kr,Sung Hwan Cho
390,391,Exelon,Utilities,10 S. Dearborn St.,Chicago,Illinois,60603,U.S.,"$36,347",31518,EXC,www.exeloncorp.com,Christopher M. Crane
391,392,Magna International,Motor Vehicles & Parts,337 Magna Dr.,"Aurora, Ontario",Canada,L4G 7K1,Canada,"$36,242",158000,MGA,www.magna.com,Donald J. Walker
392,393,CK Hutchison Holdings,Specialty Retailers,2 Queen's Rd. Central,Hong Kong,China,00000,China,"$36,134",300000,CKHUY,www.ckh.com.hk,"Li Tzar Kuoi, Victor"
393,394,Phoenix Pharma,Wholesalers: Health Care,Pfingstweidstr.10-12,Mannheim,Germany,68199,Germany,"$36,107",33205,,www.phoenixgroup.eu,Sven Seidel
394,395,Massachusetts Mutual Life Insurance,"Insurance: Life, Health (Mutual)",1295 State St.,Springfield,Massachusetts,01111,U.S.,"$35,900",10052,,www.massmutual.com,Roger W. Crandall
395,396,Kuehne + Nagel International,Transportation and Logistics,Kuehne + Nagel House,Schindellegi,Switzerland,08834,Switzerland,"$35,891",73516,KHNGY,www.kuehne-nagel.com,Detlef A. Trefzger
396,397,Jardine Matheson,Motor Vehicles & Parts,Jardine House,Hong Kong,China,00000,China,"$35,862",400000,JMHLY,www.jardines.com,Ben Keswick
397,398,Raízen,Petroleum Refining,"Av. Brigadeiro Faria Lima, 4.100",São Paulo,Brazil,04538-132,Brazil,"$35,858",30359,,www.raizen.com.br,Ricardo Mussa
398,399,Northrop Grumman,Aerospace & Defense,2980 Fairview Park Dr.,Falls Church,Virginia,22042,U.S.,"$35,667",88000,NOC,www.northropgrumman.com,Kathy Warden
399,400,TongLing Nonferrous Metals Group,Metals,W. Changjiang Rd.,Tongling,China,244001,China,"$35,511",20164,,www.tnmg.com.cn,Philippe Varay
400,401,Mitsubishi Chemical Holdings,Chemicals,1-1-1 Marunouchi,Tokyo,Japan,100-8251,Japan,"$35,403",69784,MTLHY,www.mitsubishichem-hd.co.jp,Masayuki Waga
401,402,3M,Chemicals,3M Center,St. Paul,Minnesota,55144,U.S.,"$35,355",95000,MMM,www.3m.com,Michael F. Roman
402,403,British American Tobacco,Tobacco,4 Temple Place,London,Britain,WC2R 2PG,Britain,"$35,322",54365,BTI,www.bat.com,Jack Bowles
403,404,Mizuho Financial Group,Banks: Commercial and Savings,1-5-5 Ohtemachi,Tokyo,Japan,100-8176,Japan,"$35,279",52464,MFG,www.mizuhogroup.com,Tatsufumi Sakai
404,405,Haier Smart Home,"Electronics, Electrical Equip.",1 Haier Rd.,Qingdao,China,266101,China,"$35,278",104874,HSHCY,www.haier.net/en,
405,406,Olam Group,Wholesalers: Food and Grocery,7 Straits View,Singapore,Singapore,018936,Singapore,"$34,987",62548,,www.olamgroup.com,Sunny Verghese
406,407,Zijin Mining Group,Metals,1 Zijin Rd.,Longyan,China,364200,China,"$34,898",43876,ZIJMY,www.zjky.cn,Chen Jinghe
407,408,Heraeus Holding,Metals,Heraeusstr. 12-14,Hanau,Germany,63450,Germany,"$34,886",16159,,www.heraeus.com,Jan Rinnert
408,409,Aisin,Motor Vehicles & Parts,2-1 Asahi-machi,Kariya,Japan,448-8650,Japan,"$34,873",117177,ASEKY,www.aisin.com,Moritaka Yoshida
409,410,Travelers,Insurance: Property and Casualty (Stock),485 Lexington Ave.,New York,New York,10017,U.S.,"$34,816",30492,TRV,www.travelers.com,Alan Schnitzer
410,411,China Datang,Energy,1 Guangningbo St.,Beijing,China,100033,China,"$34,700",91005,,www.china-cdt.com,Chen Feihu
411,412,Longfor Group Holdings,Real Estate,5 An'ding Rd.,Beijing,China,100029,China,"$34,630",44065,LGFRY,www.longfor.com,Shao Mingxiao
412,413,Shudao Investment Group,Engineering & Construction,499 Jiaozi Ave.,Chengdu,China,610000,China,"$34,549",49493,,www.shudaojt.com,
413,414,China National Aviation Fuel Group,Trading,2 Madian Rd.,Beijing,China,100088,China,"$34,519",13877,,www.cnaf.com,Zhou Qiang
414,415,Arrow Electronics,Wholesalers: Electronics and Office Equipment,9201 E. Dry Creek Rd.,Centennial,Colorado,80112,U.S.,"$34,477",20700,ARW,www.arrow.com,Michael J. Long
415,416,New China Life Insurance,"Insurance: Life, Health (Stock)",A12 Jianguomenwai Ave.,Beijing,China,100022,China,"$34,476",34434,,www.newchinalife.com,
416,417,Honeywell International,"Electronics, Electrical Equip.",855 S. Mint St.,Charlotte,North Carolina,28202,U.S.,"$34,392",99000,HON,www.honeywell.com,Darius E. Adamczyk
417,418,Mitsubishi Heavy Industries,Industrial Machinery,3-2-3 Marunouchi,Tokyo,Japan,108-8332,Japan,"$34,364",77991,MHVYF,www.mhi.com,Seiji Izumisawa
418,419,Dollar General,Specialty Retailers,100 Mission Ridge,Goodlettsville,Tennessee,37072,U.S.,"$34,220",163000,DG,www.dollargeneral.com,Todd J. Vasos
419,420,Schneider Electric,"Electronics, Electrical Equip.",35 Rue Joseph Monier,Rueil-Malmaison,France,92500,France,"$34,175",128000,SBGSY,www.se.com,Jean-Pascal Tricoire
420,421,Hunan Iron & Steel Group,Metals,222 W. Xiangfu Rd.,Changsha,China,410004,China,"$34,061",33764,,www.chinavalin.com,
421,422,Lu’an Chemical Group,"Mining, Crude-Oil Production",Houbu Town,Changzhi,China,046204,China,"$34,043",99132,,www.chinaluan.com,
422,423,Siemens Energy,Energy,Otto Hahn Ring 6,Munich,Germany,81739,Germany,"$34,036",92000,SMNEY,www.siemens-energy.com,
423,424,PKN ORLEN Group,Petroleum Refining,7 Chemików St.,Plock,Poland,09-411,Poland,"$34,026",35424,,www.orlen.pl,Daniel Obajtek
424,425,ING Group,Banks: Commercial and Savings,Bijlmerdreef 106,Amsterdam,Netherlands,01102,Netherlands,"$33,851",57660,ING,www.ing.com,Steven Van Rijswijk
425,426,Phoenix Group Holdings,"Insurance: Life, Health (Stock)",100 St. Paul's Churchyard,London,Britain,EC4M 8BU,Britain,"$33,750",8045,PNXGF,www.thephoenixgroup.com,Andy Briggs
426,427,Veolia Environnement,Utilities,30 Rue Madeleine Vionnet,Aubervilliers,France,93300,France,"$33,706",169741,VEOEY,www.veolia.com,Antoine Frerot
427,428,Coop Group,Food & Drug Stores,Thiersteinerallee 12,Basel,Switzerland,04002,Switzerland,"$33,649",82697,,www.coop.ch,Joos Sutter
428,429,Qualcomm,Semiconductors & Other Electronic Components,5775 Morehouse Dr.,San Diego,California,92121,U.S.,"$33,566",45000,QCOM,www.qualcomm.com,Cristiano R. Amon
429,430,Shanghai Pharmaceuticals Holding,Wholesalers: Health Care,200 Taicing Rd.,Shanghai,China,200020,China,"$33,459",47056,SHPMY,www.sphchina.com,Cho Man
430,431,Shanxi Coking Coal Group,"Mining, Crude-Oil Production",1 New Jinci Rd.,Taiyuan,China,030024,China,"$33,380",202079,,www.sxcc.com.cn,
431,432,CarMax,"Automotive Retailing, Services",12800 Tuckahoe Creek Pkwy.,Richmond,Virginia,23238,U.S.,"$33,197",32647,KMX,www.carmax.com,Victor Allen
432,433,SAP,Computer Software,Dietmar Hopp Allee 16,Walldorf,Germany,69190,Germany,"$32,919",107415,SAP,www.sap.com,Christian Klein
433,434,Xinjiang Zhongtai Group,Chemicals,39 Yangchenghu Rd.,Urumqi,China,830002,China,"$32,890",39141,,ww.zhtx.com,Wang Hongxin
434,435,Tata Steel,Metals,24 Homi Mody St.,Fort Mumbai,India,400001,India,"$32,861",72551,,www.tatasteel.com,Natarajan Chandrasekaran
435,436,BYD,Motor Vehicles & Parts,3009 BYD Rd.,Shenzhen,China,518118,China,"$32,758",288186,BYDDY,www.byd.com,Wang Chuanfu
436,437,Rajesh Exports,Trading,4 Batavia Chambers,Bengaluru,India,560001,India,"$32,650",181,,www.rajeshindia.com,Rajesh Mehta
437,438,Inditex,Specialty Retailers,Av. de la Diputación,Arteixo,Spain,15143,Spain,"$32,572",165042,IDEXY,www.inditex.com,Oscar Garcia Maceiras
438,439,Banco Bradesco,Banks: Commercial and Savings,Cidade de Deus,Osasco,Brazil,06029-900,Brazil,"$32,556",79507,BBD,www.bradesco.com.br,Octavio De Lazari
439,440,Fubon Financial Holding,"Insurance: Life, Health (Stock)",179 Liaoning St.,Taipei,Taiwan,00104,Taiwan,"$32,223",44993,,www.fubon.com,Richard M. Tsai
440,441,S.F. Holding,Transportation and Logistics,Keji South 1st Rd.,Shenzhen,China,518057,China,"$32,120",177129,,www.sf-express.com,Wang Wei
441,442,Sumitomo Life Insurance,"Insurance: Life, Health (Mutual)",1-4-35 Shiromi,Osaka,Japan,540-8512,Japan,"$32,042",42954,,www.sumitomolife.co.jp,Masahiro Hashimoto
442,443,Capital One Financial,Banks: Commercial and Savings,1680 Capital One Dr.,McLean,Virginia,22102,U.S.,"$32,033",50767,COF,www.capitalone.com,Ashish Kumar
443,444,Canon,"Computers, Office Equipment",3-30-2 Shimomaruko,Tokyo,Japan,146-8501,Japan,"$32,005",184034,CAJ,www.global.canon,Fujio Mitarai
444,445,Guangxi Investment Group,Diversified Financials,109 Minzu Ave.,Nanning,China,530028,China,"$31,962",35369,,www.gig.cn,Zhou Lian
445,446,Fujitsu,Information Technology Services,1-5-2 Higashi-Shinbashi,Tokyo,Japan,105-7123,Japan,"$31,930",124216,FJTSY,www.fujitsu.com,Takahito Tokita
446,447,Yunnan Provincial Investment Holding Group,Diversified Financials,285 Renmin W. Rd.,Kunming,China,650100,China,"$31,884",52077,,www.cnyig.com/en,
447,448,Takeda Pharmaceutical,Pharmaceuticals,2-1-1 Nihonbashi-Honcho,Tokyo,Japan,103-8668,Japan,"$31,771",47347,TAK,www.takeda.com,Christophe Weber
448,449,Suzuki Motor,Motor Vehicles & Parts,300 Takatsuka-cho,Hamamatsu,Japan,432-8611,Japan,"$31,765",69193,SZKMY,www.globalsuzuki.com,Toshihiro Suzuki
449,450,Migros Group,Food & Drug Stores,Limmatstr. 152,Zurich,Switzerland,08005,Switzerland,"$31,658",73546,,www.migros.ch,Fabrice Zumbrunnen
450,451,TD Synnex,Wholesalers: Electronics and Office Equipment,44201 Nobel Dr.,Fremont,California,94538,U.S.,"$31,614",27000,SNX,www.tdsynnex.com,Richard T. Hume
451,452,Weichai Power,Industrial Machinery,197 Fu Shou East St.,Weifang,China,261061,China,"$31,556",82600,WEICY,www.weichaipower.com,Tan Xuguang
452,453,Xinjiang Guanghui Industry Investment,Trading,165 Xinhua N. Rd.,Urumqi,China,830002,China,"$31,506",73109,,www.guanghui.com,
453,454,Philip Morris International,Tobacco,120 Park Ave.,New York,New York,10017,U.S.,"$31,405",69600,PM,www.pmi.com,Martin King
454,455,World Fuel Services,Energy,9800 N.W. 41st St.,Miami,Florida,33178,U.S.,"$31,337",4414,INT,www.wfscorp.com,Michael J. Kasbar
455,456,Bank of Nova Scotia,Banks: Commercial and Savings,44 King St. W.,"Toronto, Ontario",Canada,M5H 1H1,Canada,"$31,226",89488,BNS,www.scotiabank.com,Brian Porter
456,457,Suncor Energy,Petroleum Refining,150 Sixth Ave. S.W.,"Calgary, Alberta",Canada,T2P 3E3,Canada,"$31,191",16922,SU,www.suncor.com,Kris Smith
457,458,Shandong Hi-Speed Group,Transportation and Logistics,8 Longao N. Rd.,Jinan,China,250098,China,"$31,136",52407,,www.sdhsg.com,
458,459,Hailiang Group,Trading,1508 Binsheng Rd.,Hangzhou,China,310051,China,"$31,049",24058,,www.hailiang.com,Cao Jianguo
459,460,CRH,"Building Materials, Glass",Stonemason's Way,Dublin,Ireland,00016,Ireland,"$30,981",77400,CRH,www.crh.com,Albert Manifold
460,461,Investor,Diversified Financials,Arsenalsgatan 8C,Stockholm,Sweden,103 32,Sweden,"$30,948",14812,IVSBF,www.investorab.com,Johan Forssell
461,462,Wistron,"Computers, Office Equipment",158 Singshan Rd.,Taipei,Taiwan,11469,Taiwan,"$30,867",80000,,www.wistron.com,Simon Lin
462,463,Linde,Chemicals,"Forge, 43 Church St. W.","Woking, Surrey",Britain,GU21 6HT,Britain,"$30,798",72327,LIN,www.linde.com,Steve Angel
463,464,Samsung Life Insurance,"Insurance: Life, Health (Stock)",11 Seocho-daero 74-gil,Seoul,South Korea,06620,South Korea,"$30,654",4975,,www.samsunglife.com,Young-Muk Jeon
464,465,Banco do Brasil,Banks: Commercial and Savings,Setor de Autarquias Norte,Brasilia,Brazil,70040-912,Brazil,"$30,602",84597,BDORY,www.bb.com.br,Rubem De Freitas Novaes
465,466,Chengdu Xingcheng Investment Group,Engineering & Construction,Zhuojin Rd.,Chengdu,China,061000,China,"$30,553",38076,,www.cdxctz.com,Ren Zhineng
466,467,Guangzhou Pharmaceutical Holdings,Pharmaceuticals,45 Shamian N. St.,Guangzhou,China,510130,China,"$30,466",34730,,www.gpc.com.cn,
467,468,Performance Food Group,Wholesalers: Food and Grocery,12500 W. Creek Pkwy.,Richmond,Virginia,23238,U.S.,"$30,399",22885,PFGC,www.pfgc.com,George L. Holm
468,469,Shanghai Delong Steel Group,Metals,188 Yesheng Rd.,Shanghai,China,201306,China,"$30,343",46054,,www.shanghaidelong.com,
469,470,GS Caltex,Petroleum Refining,508 Nonhyeon-ro,Seoul,South Korea,06141,South Korea,"$30,182",3259,,www.gscaltex.com,Jung Su Kim
470,471,Mercadona,Food & Drug Stores,Calle Valencia 5,Valencia,Spain,46016,Spain,"$30,170",95800,,www.mercadona.es,Juan Roig
471,472,CJ Corp.,Food Production,12 Sowol-ro 2-gil,Seoul,South Korea,04637,South Korea,"$30,134",64259,,www.cj.net,
472,473,Medtronic,Medical Products and Equipment,20 Lower Hatch St.,Dublin,Ireland,00002,Ireland,"$30,117",90000,MDT,www.medtronic.com,Geoff Martha
473,474,Samsung C&T,Trading,26 Sangil-ro 6-gil,Seoul,South Korea,05510,South Korea,"$30,109",15331,,www.samsungcnt.com,Maeng Kyu Cha
474,475,CPC,Petroleum Refining,2 Tso-Nan Rd.,Kaohsiung,Taiwan,81126,Taiwan,"$30,021",16366,,www.cpc.com.tw,
475,476,Sumitomo Electric Industries,Motor Vehicles & Parts,4-5-33 Kitahama,Osaka,Japan,541-0041,Japan,"$29,980",281075,SMTOY,www.global-sei.com,Masayoshi Matsumoto
476,477,X5 Retail Group,Food & Drug Stores,Zuidplein 196,Amsterdam,Netherlands,01077,Netherlands,"$29,922",340928,,www.x5.ru,
477,478,Delta Air Lines,Airlines,1030 Delta Blvd.,Atlanta,Georgia,30354,U.S.,"$29,899",83000,DAL,www.delta.com,
478,479,American Airlines Group,Airlines,1 Skyview Dr.,Fort Worth,Texas,76155,U.S.,"$29,882",123400,AAL,www.aa.com,Robert D. Isom
479,480,Toshiba,"Electronics, Electrical Equip.",1-1-1 Shibaura,Tokyo,Japan,105-8001,Japan,"$29,705",116224,TOSYY,www.toshiba.co.jp,
480,481,Netflix,Entertainment,100 Winchester Circle,Los Gatos,California,95032,U.S.,"$29,698",11300,NFLX,www.netflix.com,Ted Sarandos
481,482,Metro,Wholesalers: Food and Grocery,Metro Strasse 1,Düsseldorf,Germany,40235,Germany,"$29,594",86527,,www.metroag.de,Steffen Greubel
482,483,Paramount Global,Entertainment,1515 Broadway,New York,New York,10036,U.S.,"$29,579",25115,PARA,www.paramount.com,Robert M. Bakish
483,484,Bridgestone,Motor Vehicles & Parts,3-1-1 Kyobashi,Tokyo,Japan,104-8340,Japan,"$29,570",135636,BRDCY,www.bridgestone.com,Shuichi Ishibashi
484,485,US Foods Holding,Wholesalers: Food and Grocery,9399 W. Higgins Rd.,Rosemont,Illinois,60018,U.S.,"$29,487",28000,USFD,www.usfoods.com,Pietro Satriano
485,486,Danaher,Medical Products and Equipment,2200 Pennsylvania Ave. N.W.,Washington,District Of Columbia,20037,U.S.,"$29,453",79000,DHR,www.danaher.com,Rainer M. Blair
486,487,Gree Electric Appliances,"Electronics, Electrical Equip.",W. Jinji Rd.,Zhuhai,China,519070,China,"$29,402",81884,,www.gree.com,
487,488,Holcim,"Building Materials, Glass",Grafenauweg 10,Zug,Switzerland,06300,Switzerland,"$29,362",70000,HCMLY,www.holcim.com,Jan Jenisch
488,489,Medipal Holdings,Wholesalers: Health Care,2-7-15 Yaesu,Tokyo,Japan,104-8461,Japan,"$29,296",14454,MAHLY,www.medipal.co.jp,
489,490,Jabil,Semiconductors & Other Electronic Components,10560 Dr. Martin Luther King Jr. St. N.,St. Petersburg,Florida,33716,U.S.,"$29,285",238000,JBL,www.jabil.com,
490,491,Randstad,Diversified Outsourcing Serivces,Diemermere 25,Diemen,Netherlands,01112,Netherlands,"$29,127",39530,RANJY,www.randstad.com,
491,492,Starbucks,Food Services,2401 Utah Ave. S.,Seattle,Washington,98134,U.S.,"$29,061",383000,SBUX,www.starbucks.com,Howard Schultz
492,493,Coles Group,Food & Drug Stores,800 Toorak Rd.,Hawthorn East,Australia,03123,Australia,"$29,056",120000,CLEGF,www.colesgroup.com.au,Steven Cain
493,494,Credit Suisse Group,Banks: Commercial and Savings,Paradeplatz 8,Zurich,Switzerland,08001,Switzerland,"$29,044",50110,CS,www.credit-suisse.com,Thomas P. Gottstein
494,495,RWE,Utilities,RWE Platz 1,Essen,Germany,45141,Germany,"$28,998",18867,RWEOY,www.rwe.com,Ingo Birnkraut
495,496,DSV,"Mail, Package and Freight Delivery",Hovedgaden 630,Hedehusene,Denmark,02640,Denmark,"$28,988",77958,DSDVY,www.dsv.com,Jens Bjørn Andersen
496,497,ABB,Industrial Machinery,Affolternstrasse 44,Zurich,Switzerland,08050,Switzerland,"$28,945",104400,ABB,www.abb.com,Bjoern Rosengren
497,498,Mondelez International,Food Consumer Products,905 W. Fulton Market,Chicago,Illinois,60607,U.S.,"$28,720",79000,MDLZ,www.mondelezinternational.com,
498,499,Danone,Food Consumer Products,17 Blvd. Haussmann,Paris,France,75009,France,"$28,708",98105,DANOY,www.danone.com,Emmanuel Faber
499,500,Umicore,Chemicals,Rue du Marais 31 Broekstraat,Brussels,Belgium,01000,Belgium,"$28,650",11050,UMICY,www.umicore.com,Mathias Miedreich
